datetime,interpolated_cloudcover,extraterrestrial,mean_predicted_irradiance,max_predicted_irradiance,min_predicted_irradiance,max_model,min_model,hour,month,model_1_pred,model_2_pred,model_3_pred,model_4_pred,model_5_pred,model_6_pred,model_7_pred,model_8_pred,model_9_pred,model_10_pred,model_11_pred,model_12_pred,model_13_pred,model_14_pred,model_15_pred,model_16_pred,model_17_pred,model_18_pred,model_19_pred,model_20_pred,model_21_pred,model_22_pred,model_23_pred,model_24_pred,model_25_pred,model_26_pred,model_27_pred,model_28_pred,model_29_pred,model_30_pred,model_31_pred,model_32_pred,model_33_pred,model_34_pred
2025-10-17 11:15:00,63.58,1156.84,585.3,816.8,427.13,model_v10.9.1_train_sr_LGBMRegressor,model_v11_train_ElasticNet,11,10,577.36,536.02,705.0,428.14,677.16,702.82,589.88,716.0,536.06,536.09,536.09,816.8,536.07,638.44,632.14,726.66,535.98,545.45,541.17,815.0,427.13,541.69,529.01,580.88,483.8,541.23,540.63,540.64,514.34,541.23,609.39,610.35,570.6,541.14
2025-10-17 11:30:00,62.65,1186.87,601.4,795.1,438.68,model_v10.9.1_train_sr_LGBMRegressor,model_v11_train_ElasticNet,11,10,577.36,553.37,705.0,440.15,648.22,702.82,607.37,716.0,553.41,553.36,553.36,795.1,553.42,655.43,649.19,747.19,553.33,545.45,557.82,759.0,438.68,580.41,571.9,597.47,512.6,557.88,557.2,557.21,651.95,557.88,625.62,626.38,628.2,557.79
2025-10-17 11:45:00,61.72,1211.59,623.65,826.07,448.43,model_v10.9.1_train_sr_LGBMRegressor,model_v11_train_ElasticNet,11,10,577.36,567.82,705.0,450.28,637.52,710.61,621.87,770.2,567.86,567.74,567.74,826.07,567.87,669.41,663.24,746.31,567.78,545.45,571.71,759.0,448.43,700.48,601.4,611.25,674.4,571.77,571.02,571.03,723.26,571.78,638.98,639.58,648.11,571.68
2025-10-17 12:00:00,60.8,1230.88,637.47,908.0,457.64,model_v11_train_DecisionTreeRegressor,model_v11_train_ElasticNet,12,10,577.36,577.73,705.0,459.96,592.93,693.6,632.23,786.6,577.77,577.81,577.81,759.46,577.78,680.32,674.6,670.03,577.69,545.45,581.59,908.0,457.64,865.44,616.06,621.45,719.6,581.65,581.05,581.06,735.09,581.66,649.41,649.0,719.62,581.56
2025-10-17 12:15:00,66.82,1244.66,587.47,750.2,453.48,model_v11_train_KNeighborsRegressor,model_v11_train_ElasticNet,12,10,577.36,579.2,477.0,456.14,563.59,697.22,635.77,716.0,579.25,579.36,579.37,689.51,579.26,688.12,681.51,598.03,579.16,545.45,581.85,469.0,453.48,593.63,488.2,624.31,750.2,581.91,581.4,581.41,515.76,581.92,656.86,655.74,475.19,581.82
2025-10-17 12:30:00,72.85,1252.88,561.72,692.77,228.0,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v10.9.1_train_sr_DecisionTreeRegressor,12,10,519.37,577.63,228.0,450.33,545.01,649.26,636.17,691.4,577.68,577.88,577.88,608.17,577.69,692.77,685.28,511.89,577.58,556.96,579.21,469.0,447.42,529.04,431.06,624.22,533.8,579.27,578.87,578.88,490.76,579.28,661.3,659.52,536.65,579.18
2025-10-17 12:45:00,78.88,1255.5,566.42,694.25,228.0,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v10.9.1_train_sr_DecisionTreeRegressor,12,10,519.37,572.99,228.0,442.53,573.0,649.26,633.44,670.2,573.04,573.34,573.35,659.41,573.05,694.25,685.91,553.8,572.94,556.96,573.66,469.0,439.46,529.0,510.08,621.17,442.2,573.73,573.44,573.45,602.46,573.73,662.72,660.34,575.5,573.63
2025-10-17 13:00:00,84.9,1252.5,565.33,692.55,408.89,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v11_train_LGBMRegressor,13,10,519.37,563.73,526.0,434.24,580.15,664.0,626.47,669.6,563.78,564.42,564.43,622.66,563.79,692.55,683.72,536.71,563.68,505.26,564.03,616.0,430.93,598.68,418.57,614.44,454.4,564.1,564.14,564.16,408.89,564.1,661.1,657.27,531.98,564.0
2025-10-17 13:15:00,88.48,1243.91,565.66,687.69,415.94,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v11_train_GradientBoostingRegressor,13,10,519.37,555.43,634.0,426.01,580.81,664.0,619.16,659.8,555.48,556.2,556.21,622.59,555.49,687.69,678.37,559.22,555.38,505.26,555.47,616.0,422.76,521.28,415.94,607.25,604.8,555.54,555.68,555.69,417.57,555.54,656.45,652.37,494.24,555.44
2025-10-17 13:30:00,92.05,1229.75,572.03,731.0,412.72,model_v10.9.1_train_sr_DecisionTreeRegressor,model_v11_train_ElasticNet,13,10,519.37,544.1,731.0,415.81,620.75,661.59,608.74,659.8,544.15,544.96,544.97,676.23,544.16,679.68,669.89,643.05,544.05,505.26,544.03,588.0,412.72,502.72,495.89,597.12,595.6,544.1,544.34,544.36,502.7,544.11,648.8,644.51,538.36,544.0
2025-10-17 13:45:00,95.62,1210.1,566.3,732.37,400.82,model_v10.9.1_train_sr_LGBMRegressor,model_v11_train_ElasticNet,13,10,519.37,529.76,731.0,403.66,667.71,678.6,595.23,648.0,529.81,530.73,530.74,732.37,529.82,668.56,658.31,693.75,529.71,505.26,529.74,731.0,400.82,450.5,470.8,584.08,482.2,529.81,530.17,530.18,453.4,529.82,638.18,633.74,547.52,529.71
2025-10-17 14:00:00,99.2,1185.02,531.3,731.0,308.0,model_v10.9.1_train_sr_DecisionTreeRegressor,model_v11_train_DecisionTreeRegressor,14,10,519.37,510.88,731.0,391.07,667.24,679.0,577.58,629.2,510.93,512.19,512.21,707.55,510.94,654.38,644.03,702.31,510.84,505.26,511.45,308.0,388.38,369.7,437.4,567.45,384.6,511.51,512.2,512.22,460.61,511.52,624.62,619.19,357.99,511.42
2025-10-17 14:15:00,99.38,1154.64,520.62,731.0,308.0,model_v10.9.1_train_sr_DecisionTreeRegressor,model_v11_train_DecisionTreeRegressor,14,10,519.37,494.09,731.0,380.02,646.55,679.0,560.42,629.2,494.14,495.47,495.48,727.6,494.15,637.19,626.89,695.71,494.05,505.26,495.47,308.0,377.81,418.63,443.03,551.23,384.6,495.54,496.3,496.31,358.58,495.54,608.2,603.05,367.87,495.44
2025-10-17 14:30:00,99.55,1119.07,488.87,639.32,289.96,model_v10.9.1_train_sr_GradientBoostingRegressor,model_v11_train_LGBMRegressor,14,10,468.59,474.47,632.0,367.14,614.98,639.32,540.36,629.2,474.52,475.93,475.95,635.46,474.53,617.07,606.83,537.5,474.43,433.26,476.82,352.0,365.5,313.17,401.54,532.26,384.6,476.88,477.72,477.74,289.96,476.89,588.97,584.16,375.2,476.79
2025-10-17 14:45:00,99.72,1078.48,458.59,645.11,281.0,model_v10.9.1_train_sr_GradientBoostingRegressor,model_v11_train_DecisionTreeRegressor,14,10,442.42,452.11,392.0,352.47,531.02,645.11,517.49,601.6,452.15,453.66,453.67,567.08,452.16,594.11,583.93,433.44,452.07,433.26,455.56,281.0,351.49,364.62,369.84,510.63,370.8,455.62,456.55,456.56,296.76,455.62,567.03,562.6,372.2,455.54
2025-10-17 15:00:00,99.9,1033.03,461.53,603.62,337.14,model_v10.9.1_train_sr_ExtraTreesRegressor,model_v11_train_ElasticNet,15,10,401.59,425.52,597.0,337.57,603.62,541.1,490.79,601.6,425.56,427.39,427.41,596.94,425.57,568.4,558.66,563.2,425.49,381.18,430.59,440.0,337.14,417.17,374.6,485.72,370.8,430.64,431.88,431.9,370.83,430.65,542.46,537.57,430.95,430.57
2025-10-17 15:15:00,99.93,982.93,428.1,619.18,259.8,model_v10.9.1_train_sr_LGBMRegressor,model_v11_train_LGBMRegressor,15,10,401.59,398.1,450.0,319.73,481.99,541.1,462.67,601.6,398.13,400.08,400.09,619.18,398.14,540.06,530.42,492.77,398.07,381.18,404.55,462.0,320.1,361.62,352.52,459.15,335.2,404.6,405.95,405.96,259.8,404.61,515.38,510.98,333.57,404.53
2025-10-17 15:30:00,99.95,928.38,390.48,601.6,148.0,model_v10.9.1_train_sr_KNeighborsRegressor,model_v11_train_DecisionTreeRegressor,15,10,401.59,368.26,450.0,300.33,452.25,541.1,432.08,601.6,368.28,370.35,370.36,600.49,368.29,509.2,499.69,493.27,368.23,361.84,376.22,148.0,301.57,258.28,281.93,430.24,291.4,376.27,377.73,377.74,239.63,376.27,485.89,482.03,239.69,376.2
2025-10-17 15:45:00,99.98,869.62,358.76,475.96,278.0,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v11_train_KNeighborsRegressor,15,10,378.53,336.1,449.0,279.41,370.66,408.62,399.11,450.4,336.12,338.32,338.33,321.59,336.13,475.96,466.58,311.13,336.08,339.29,345.69,287.0,281.6,342.33,325.73,399.08,278.0,345.73,347.32,347.33,306.45,345.74,454.13,450.84,323.72,345.68
2025-10-17 16:00:00,100.0,806.9,328.88,450.4,203.0,model_v10.9.1_train_sr_KNeighborsRegressor,model_v11_train_KNeighborsRegressor,16,10,329.3,300.23,449.0,258.61,365.32,338.87,362.84,450.4,300.25,302.81,302.82,324.97,300.25,440.48,431.59,341.7,300.21,322.22,311.94,259.0,261.62,299.37,289.04,365.14,203.0,311.97,313.9,313.92,260.38,311.97,420.22,416.65,310.15,311.93
2025-10-17 16:15:00,100.0,740.48,285.55,450.4,112.0,model_v10.9.1_train_sr_KNeighborsRegressor,model_v11_train_DecisionTreeRegressor,16,10,329.3,263.92,216.0,235.02,300.25,313.86,325.61,450.4,263.93,266.64,266.65,318.69,263.94,402.92,394.18,275.88,263.91,322.22,277.48,112.0,239.1,259.36,275.22,329.95,194.6,277.5,279.58,279.59,215.63,277.5,384.32,381.41,174.72,277.47
2025-10-17 16:30:00,100.0,670.67,254.18,363.42,112.0,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v11_train_DecisionTreeRegressor,16,10,329.3,225.75,216.0,210.22,276.11,313.86,286.46,301.8,225.76,228.62,228.63,318.69,225.76,363.42,354.84,275.62,225.74,322.22,241.25,112.0,215.43,170.14,275.22,292.97,194.6,241.27,243.49,243.5,172.67,241.27,346.58,344.36,137.21,241.24
2025-10-17 16:45:00,100.0,597.74,211.82,322.17,132.0,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v11_train_DecisionTreeRegressor,16,10,221.49,185.88,215.0,184.32,233.97,198.87,245.58,256.6,185.88,188.91,188.92,227.46,185.89,322.17,313.76,212.49,185.88,188.87,203.4,132.0,190.7,149.86,181.6,254.33,194.6,203.42,205.79,205.8,164.45,203.42,307.16,305.67,154.41,203.4
2025-10-17 17:00:00,100.0,522.02,187.51,279.34,121.0,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v11_train_DecisionTreeRegressor,17,10,188.36,142.92,248.0,158.92,240.69,174.47,202.03,261.4,142.92,146.34,146.34,202.75,142.92,279.34,271.45,216.31,142.92,184.43,162.93,121.0,166.34,179.29,164.22,213.51,194.6,162.93,165.68,165.69,138.08,162.93,266.23,264.58,191.8,162.92
2025-10-17 17:15:00,99.72,443.83,153.78,235.1,97.0,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v11_train_DecisionTreeRegressor,17,10,188.36,100.46,142.0,131.55,211.78,179.21,158.38,219.0,100.45,104.03,104.04,176.1,100.45,235.1,227.44,196.54,100.46,184.43,122.67,97.0,140.24,196.71,146.53,172.3,161.0,122.67,125.58,125.58,113.92,122.67,223.96,223.11,152.02,122.67
2025-10-17 17:30:00,99.45,363.5,116.9,195.12,56.79,model_v10.9.1_train_sr_RandomForestRegressor,model_v10.9.1_train_sr_LinearRegression,17,10,188.36,56.81,142.0,103.41,157.06,151.23,113.54,161.2,56.8,60.56,60.56,135.47,56.79,189.66,182.22,195.12,56.82,184.43,81.3,81.0,113.39,105.88,128.38,129.94,83.4,81.28,84.36,84.37,90.42,81.28,180.54,180.51,135.3,81.3
2025-10-17 17:45:00,99.18,281.38,68.4,143.21,12.16,model_v10.9.1_train_sr_OrthogonalMatchingPursuit,model_v10.9.1_train_sr_LinearRegression,17,10,66.44,12.19,93.0,74.64,102.24,82.0,67.68,115.6,12.17,16.1,16.11,78.76,12.16,143.21,135.99,126.14,12.21,64.13,38.99,59.0,85.94,86.85,63.58,86.63,83.4,38.97,42.22,42.22,38.69,38.97,136.15,136.96,77.1,39.0
2025-10-17 18:00:00,98.9,197.82,0.0,0.0,0.0,model_v10.9.1_train_sr_AdaBoostRegressor,model_v10.9.1_train_sr_AdaBoostRegressor,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17 18:15:00,97.9,113.18,0.0,0.0,0.0,model_v10.9.1_train_sr_AdaBoostRegressor,model_v10.9.1_train_sr_AdaBoostRegressor,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17 18:30:00,96.9,27.81,0.0,0.0,0.0,model_v10.9.1_train_sr_AdaBoostRegressor,model_v10.9.1_train_sr_AdaBoostRegressor,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17 18:45:00,95.9,0.0,0.0,0.0,0.0,model_v10.9.1_train_sr_AdaBoostRegressor,model_v10.9.1_train_sr_AdaBoostRegressor,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17 19:00:00,94.9,0.0,0.0,0.0,0.0,model_v10.9.1_train_sr_AdaBoostRegressor,model_v10.9.1_train_sr_AdaBoostRegressor,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17 19:15:00,96.18,0.0,0.0,0.0,0.0,model_v10.9.1_train_sr_AdaBoostRegressor,model_v10.9.1_train_sr_AdaBoostRegressor,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
